num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,99ef4_00000,2025-06-25_17-51-54,1750899114,61.63168907165527,61.63168907165527,26141,MacBook-Pro.local,127.0.0.1,61.63168907165527,1,60.20861954099382,1.091699959943071e-05,60.20854258300096,60.2085264999987,0,0,0,10.239772727272728,51.53636363636363
1,0,False,2,99ef4_00000,2025-06-25_17-51-56,1750899116,1.9966158866882324,63.628304958343506,26141,MacBook-Pro.local,127.0.0.1,63.628304958343506,2,59.62649710225385,0.019972399909602246,59.60645856509094,59.606442528748666,0,0,0,12.166666666666666,51.666666666666664
1,0,True,3,99ef4_00000,2025-06-25_17-52-58,1750899178,62.04425001144409,125.6725549697876,26141,MacBook-Pro.local,127.0.0.1,125.6725549697876,3,59.63298491248133,0.02057811883053364,59.61234069151998,59.612324668041175,0,1,0,10.481818181818182,51.67386363636365
