num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent
1,0,False,1,cca18_00000,2025-06-25_18-00-28,1750899628,61.757246017456055,61.757246017456055,26716,MacBook-Pro.local,127.0.0.1,61.757246017456055,1,60.22312508299365,9.41600592341274e-06,60.22305349999806,60.223039208001865,0,0,0,7.715909090909091,51.6375
1,0,False,2,cca18_00000,2025-06-25_18-01-30,1750899690,62.0464448928833,123.80369091033936,26716,MacBook-Pro.local,127.0.0.1,123.80369091033936,2,60.222942914663726,5.8773935888893904e-05,60.22282196541804,60.22280766050186,0,1,0,8.64943820224719,51.66853932584271
1,0,True,3,cca18_00000,2025-06-25_18-02-33,1750899753,62.04328179359436,185.84697270393372,26716,MacBook-Pro.local,127.0.0.1,185.84697270393372,3,60.2230082367671,0.00013716827654279768,60.22280874451385,60.2227943547268,0,2,0,8.646590909090909,51.661363636363646
